,x1,y1,x2,y2,image_id
7398,1.0,98.0,158.0,181.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7399,96.0,152.0,251.0,274.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7400,99.0,195.0,259.0,343.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7401,304.0,84.0,395.0,215.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7402,435.0,74.0,543.0,201.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7403,459.0,162.0,615.0,378.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7404,391.0,246.0,544.0,524.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7405,343.0,478.0,527.0,562.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7406,252.0,500.0,381.0,601.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7407,183.0,403.0,340.0,498.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7408,59.0,282.0,172.0,409.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7409,0.0,445.0,281.0,547.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7410,330.0,212.0,432.0,412.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7411,0.0,0.0,37.0,59.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7412,693.0,23.0,850.0,175.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7413,700.0,110.0,785.0,332.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7414,808.0,139.0,901.0,337.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7415,640.0,446.0,797.0,551.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7416,593.0,541.0,721.0,614.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7417,789.0,316.0,872.0,500.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7418,79.0,620.0,195.0,684.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7419,139.0,668.0,197.0,781.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7420,188.0,708.0,316.0,829.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7421,303.0,748.0,424.0,850.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7422,273.0,816.0,477.0,951.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7423,295.0,936.0,448.0,1024.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7424,238.0,906.0,371.0,1019.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7425,76.0,886.0,225.0,963.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7426,40.0,952.0,204.0,1023.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7427,494.0,818.0,623.0,952.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7428,596.0,915.0,715.0,1024.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
7429,587.0,786.0,653.0,898.0,arvalis_1_4021d47d4_d79169f0e_1b10b9fa1_4e02ed1d3_f121ee695_c88f6408f
