bbox_count,source,stratify_group,fold
55,arvalis_1,arvalis_1_3,1
20,usask_1,usask_1_1,3
25,inrae_1,inrae_1_1,1
41,inrae_1,inrae_1_2,0
25,arvalis_3,arvalis_3_1,3
7,arvalis_3,arvalis_3_0,1
43,arvalis_1,arvalis_1_2,0
55,arvalis_1,arvalis_1_3,2
36,usask_1,usask_1_2,3
16,inrae_1,inrae_1_1,2
49,rres_1,rres_1_3,3
21,arvalis_2,arvalis_2_1,0
35,arvalis_1,arvalis_1_2,4
28,arvalis_1,arvalis_1_1,0
22,arvalis_2,arvalis_2_1,1
19,arvalis_2,arvalis_2_1,3
47,arvalis_3,arvalis_3_3,2
52,arvalis_3,arvalis_3_3,4
46,arvalis_1,arvalis_1_3,4
32,arvalis_3,arvalis_3_2,4
39,usask_1,usask_1_2,0
30,usask_1,usask_1_2,2
13,inrae_1,inrae_1_0,3
65,ethz_1,ethz_1_4,1
96,ethz_1,ethz_1_6,0
20,inrae_1,inrae_1_1,0
23,arvalis_2,arvalis_2_1,4
48,usask_1,usask_1_3,1
54,arvalis_1,arvalis_1_3,3
42,usask_1,usask_1_2,2
75,ethz_1,ethz_1_5,3
33,arvalis_1,arvalis_1_2,3
17,inrae_1,inrae_1_1,2
61,arvalis_3,arvalis_3_4,2
21,arvalis_2,arvalis_2_1,0
26,arvalis_1,arvalis_1_1,3
15,arvalis_2,arvalis_2_1,2
44,arvalis_3,arvalis_3_2,2
27,arvalis_2,arvalis_2_1,3
30,arvalis_1,arvalis_1_2,3
72,ethz_1,ethz_1_4,3
87,ethz_1,ethz_1_5,3
43,arvalis_1,arvalis_1_2,0
34,rres_1,rres_1_2,4
77,ethz_1,ethz_1_5,3
44,rres_1,rres_1_2,1
53,arvalis_1,arvalis_1_3,4
67,rres_1,rres_1_4,1
41,arvalis_1,arvalis_1_2,1
38,arvalis_1,arvalis_1_2,1
23,arvalis_3,arvalis_3_1,1
19,inrae_1,inrae_1_1,0
89,ethz_1,ethz_1_5,1
45,arvalis_1,arvalis_1_3,2
44,arvalis_1,arvalis_1_2,3
19,usask_1,usask_1_1,4
24,usask_1,usask_1_1,0
50,arvalis_1,arvalis_1_3,1
60,ethz_1,ethz_1_4,1
23,arvalis_1,arvalis_1_1,4
51,arvalis_1,arvalis_1_3,1
30,arvalis_3,arvalis_3_2,2
70,ethz_1,ethz_1_4,1
64,arvalis_3,arvalis_3_4,1
29,usask_1,usask_1_1,4
58,rres_1,rres_1_3,2
61,ethz_1,ethz_1_4,0
41,arvalis_1,arvalis_1_2,4
14,arvalis_3,arvalis_3_0,0
29,arvalis_2,arvalis_2_1,4
4,arvalis_3,arvalis_3_0,4
31,arvalis_2,arvalis_2_2,2
27,usask_1,usask_1_1,3
69,ethz_1,ethz_1_4,4
14,inrae_1,inrae_1_0,3
36,arvalis_1,arvalis_1_2,4
31,usask_1,usask_1_2,1
30,inrae_1,inrae_1_2,1
59,ethz_1,ethz_1_3,0
42,arvalis_1,arvalis_1_2,3
72,ethz_1,ethz_1_4,2
71,ethz_1,ethz_1_4,0
36,rres_1,rres_1_2,3
64,ethz_1,ethz_1_4,4
47,arvalis_1,arvalis_1_3,3
60,ethz_1,ethz_1_4,1
65,arvalis_1,arvalis_1_4,4
24,arvalis_1,arvalis_1_1,3
50,arvalis_1,arvalis_1_3,4
57,arvalis_1,arvalis_1_3,4
19,arvalis_3,arvalis_3_1,3
73,ethz_1,ethz_1_4,3
49,arvalis_3,arvalis_3_3,0
10,arvalis_3,arvalis_3_0,4
8,arvalis_2,arvalis_2_0,2
36,arvalis_1,arvalis_1_2,4
48,rres_1,rres_1_3,3
65,ethz_1,ethz_1_4,3
59,ethz_1,ethz_1_3,3
68,rres_1,rres_1_4,4
63,ethz_1,ethz_1_4,3
58,arvalis_1,arvalis_1_3,4
36,rres_1,rres_1_2,3
55,arvalis_3,arvalis_3_3,0
27,inrae_1,inrae_1_1,4
40,usask_1,usask_1_2,0
79,ethz_1,ethz_1_5,3
53,arvalis_3,arvalis_3_3,1
34,arvalis_1,arvalis_1_2,0
53,rres_1,rres_1_3,1
51,rres_1,rres_1_3,3
42,arvalis_1,arvalis_1_2,0
37,arvalis_1,arvalis_1_2,3
31,arvalis_3,arvalis_3_2,4
17,arvalis_3,arvalis_3_1,2
30,usask_1,usask_1_2,2
55,arvalis_1,arvalis_1_3,0
62,ethz_1,ethz_1_4,3
54,arvalis_1,arvalis_1_3,4
52,arvalis_1,arvalis_1_3,1
48,arvalis_3,arvalis_3_3,0
55,ethz_1,ethz_1_3,3
58,arvalis_1,arvalis_1_3,0
56,ethz_1,ethz_1_3,2
3,arvalis_3,arvalis_3_0,1
52,rres_1,rres_1_3,3
30,usask_1,usask_1_2,3
12,arvalis_2,arvalis_2_0,1
32,arvalis_1,arvalis_1_2,0
67,ethz_1,ethz_1_4,1
20,inrae_1,inrae_1_1,1
35,usask_1,usask_1_2,4
15,inrae_1,inrae_1_1,0
59,ethz_1,ethz_1_3,0
23,arvalis_2,arvalis_2_1,3
