image_id,bbox_count,source,stratify_group,fold
00333207f,55,arvalis_1,arvalis_1_3,1
005b0d8bb,20,usask_1,usask_1_1,3
006a994f7,25,inrae_1,inrae_1_1,1
00764ad5d,41,inrae_1,inrae_1_2,0
00b5fefed,25,arvalis_3,arvalis_3_1,3
00b70a919,7,arvalis_3,arvalis_3_0,1
00e903abe,43,arvalis_1,arvalis_1_2,0
00ea5e5ee,55,arvalis_1,arvalis_1_3,2
010b216d4,36,usask_1,usask_1_2,3
010c93b99,16,inrae_1,inrae_1_1,2
010dbcc8f,49,rres_1,rres_1_3,3
0114c88aa,21,arvalis_2,arvalis_2_1,0
01189a3c3,35,arvalis_1,arvalis_1_2,4
0126b7d11,28,arvalis_1,arvalis_1_1,0
013669953,22,arvalis_2,arvalis_2_1,1
01397a84c,19,arvalis_2,arvalis_2_1,3
013fd7d80,47,arvalis_3,arvalis_3_3,2
015939012,52,arvalis_3,arvalis_3_3,4
0172359d2,46,arvalis_1,arvalis_1_3,4
019d1c76a,32,arvalis_3,arvalis_3_2,4
01e2c61d9,39,usask_1,usask_1_2,0
01f37f1d3,30,usask_1,usask_1_2,2
025ea7326,13,inrae_1,inrae_1_0,3
02640d9da,65,ethz_1,ethz_1_4,1
026b6f389,96,ethz_1,ethz_1_6,0
027086635,20,inrae_1,inrae_1_1,0
02992044c,23,arvalis_2,arvalis_2_1,4
029c79463,48,usask_1,usask_1_3,1
029e03e52,54,arvalis_1,arvalis_1_3,3
02b6f199c,42,usask_1,usask_1_2,2
02d662fa8,75,ethz_1,ethz_1_5,3
02e02e347,33,arvalis_1,arvalis_1_2,3
02f0fe2ca,17,inrae_1,inrae_1_1,2
02fe8c28e,61,arvalis_3,arvalis_3_4,2
030314634,21,arvalis_2,arvalis_2_1,0
03173a1a5,26,arvalis_1,arvalis_1_1,3
031ed396f,15,arvalis_2,arvalis_2_1,2
034090252,44,arvalis_3,arvalis_3_2,2
03448724b,27,arvalis_2,arvalis_2_1,3
0352a6fff,30,arvalis_1,arvalis_1_2,3
035bdc07a,72,ethz_1,ethz_1_4,3
036cbd683,87,ethz_1,ethz_1_5,3
037024e13,43,arvalis_1,arvalis_1_2,0
037d96952,34,rres_1,rres_1_2,4
