image_id,bbox_count,source,stratify_group,fold5
00333207f,55,arvalis_1,arvalis_1_3,3
005b0d8bb,20,usask_1,usask_1_1,0
006a994f7,25,inrae_1,inrae_1_1,0
00764ad5d,41,inrae_1,inrae_1_2,0
00b5c6764,0,unknown,unknown_0,2
00b5fefed,25,arvalis_3,arvalis_3_1,2
00b70a919,7,arvalis_3,arvalis_3_0,1
00e903abe,43,arvalis_1,arvalis_1_2,0
00ea5e5ee,55,arvalis_1,arvalis_1_3,4
010b216d4,36,usask_1,usask_1_2,0
010c93b99,16,inrae_1,inrae_1_1,4
010dbcc8f,49,rres_1,rres_1_3,2
0114c88aa,21,arvalis_2,arvalis_2_1,2
01189a3c3,35,arvalis_1,arvalis_1_2,4
0126b7d11,28,arvalis_1,arvalis_1_1,0
013669953,22,arvalis_2,arvalis_2_1,4
01397a84c,19,arvalis_2,arvalis_2_1,1
013fd7d80,47,arvalis_3,arvalis_3_3,0
015939012,52,arvalis_3,arvalis_3_3,4
0172359d2,46,arvalis_1,arvalis_1_3,2
019d1c76a,32,arvalis_3,arvalis_3_2,0
01e2c61d9,39,usask_1,usask_1_2,4
01f37f1d3,30,usask_1,usask_1_2,4
025ea7326,13,inrae_1,inrae_1_0,1
02640d9da,65,ethz_1,ethz_1_4,0
026b6f389,96,ethz_1,ethz_1_6,0
027086635,20,inrae_1,inrae_1_1,4
02992044c,23,arvalis_2,arvalis_2_1,3
029c79463,48,usask_1,usask_1_3,0
029e03e52,54,arvalis_1,arvalis_1_3,0
02b6f199c,42,usask_1,usask_1_2,2
02d662fa8,75,ethz_1,ethz_1_5,2
02e02e347,33,arvalis_1,arvalis_1_2,0
02f0fe2ca,17,inrae_1,inrae_1_1,2
02fe8c28e,61,arvalis_3,arvalis_3_4,2
030314634,21,arvalis_2,arvalis_2_1,1
03173a1a5,26,arvalis_1,arvalis_1_1,4
031ed396f,15,arvalis_2,arvalis_2_1,3
034090252,44,arvalis_3,arvalis_3_2,4
03448724b,27,arvalis_2,arvalis_2_1,1
0352a6fff,30,arvalis_1,arvalis_1_2,1
035bdc07a,72,ethz_1,ethz_1_4,4
036cbd683,87,ethz_1,ethz_1_5,4
037024e13,43,arvalis_1,arvalis_1_2,3
037d96952,34,rres_1,rres_1_2,1
038432e90,77,ethz_1,ethz_1_5,2
03a177626,44,rres_1,rres_1_2,4
03a242bd2,53,arvalis_1,arvalis_1_3,3
03a988adf,67,rres_1,rres_1_4,0
03ad2a35c,41,arvalis_1,arvalis_1_2,1
03cae970d,38,arvalis_1,arvalis_1_2,2
03d831c0d,23,arvalis_3,arvalis_3_1,4
03dd40d7b,19,inrae_1,inrae_1_1,0
041707ba8,89,ethz_1,ethz_1_5,3
04201d2d6,45,arvalis_1,arvalis_1_3,0
0424c00e4,44,arvalis_1,arvalis_1_2,1
0429c9ff6,19,usask_1,usask_1_1,4
0435654cd,24,usask_1,usask_1_1,4
043a957ca,50,arvalis_1,arvalis_1_3,1
044078e70,60,ethz_1,ethz_1_4,2
044097f45,23,arvalis_1,arvalis_1_1,4
045d846eb,51,arvalis_1,arvalis_1_3,1
0478cbc2a,30,arvalis_3,arvalis_3_2,4
04981ca30,70,ethz_1,ethz_1_4,0
04a47965e,64,arvalis_3,arvalis_3_4,2
04b7f3a15,29,usask_1,usask_1_1,2
04f906b5d,58,rres_1,rres_1_3,4
04fe56fd3,61,ethz_1,ethz_1_4,3
05522807e,41,arvalis_1,arvalis_1_2,3
0557047b9,14,arvalis_3,arvalis_3_0,4
0573ed37c,29,arvalis_2,arvalis_2_1,3
058ad1382,4,arvalis_3,arvalis_3_0,3
059125072,31,arvalis_2,arvalis_2_2,0
0594af5a7,27,usask_1,usask_1_1,0
05ac5dc96,69,ethz_1,ethz_1_4,0
05c6591ee,14,inrae_1,inrae_1_0,2
05cd43275,36,arvalis_1,arvalis_1_2,0
05dfa9bb1,31,usask_1,usask_1_2,0
05e946e1f,30,inrae_1,inrae_1_2,0
060543bbf,59,ethz_1,ethz_1_3,1
060740e25,42,arvalis_1,arvalis_1_2,2
060c572e4,72,ethz_1,ethz_1_4,1
060fd0cd8,71,ethz_1,ethz_1_4,1
06152e5bf,36,rres_1,rres_1_2,3
0679b8bab,64,ethz_1,ethz_1_4,3
06812a4fc,47,arvalis_1,arvalis_1_3,3
069719eab,60,ethz_1,ethz_1_4,0
06a78c36e,65,arvalis_1,arvalis_1_4,0
06b42df4e,24,arvalis_1,arvalis_1_1,2
06fdd4941,50,arvalis_1,arvalis_1_3,0
073d83544,57,arvalis_1,arvalis_1_3,1
07479da31,19,arvalis_3,arvalis_3_1,1
077ba8cca,73,ethz_1,ethz_1_4,1
077c0bddb,49,arvalis_3,arvalis_3_3,4
0785826af,10,arvalis_3,arvalis_3_0,3
0787635a2,8,arvalis_2,arvalis_2_0,0
078d5b8b9,36,arvalis_1,arvalis_1_2,0
07a4d2b9e,48,rres_1,rres_1_3,1
07d6634c4,65,ethz_1,ethz_1_4,2
07dc460bc,59,ethz_1,ethz_1_3,4
07ebc6045,68,rres_1,rres_1_4,4
07f519e11,63,ethz_1,ethz_1_4,3
08568d66f,58,arvalis_1,arvalis_1_3,3
085d0d511,36,rres_1,rres_1_2,3
086349fe8,55,arvalis_3,arvalis_3_3,2
086b6a39d,27,inrae_1,inrae_1_1,2
0874422e6,40,usask_1,usask_1_2,1
0877092cc,79,ethz_1,ethz_1_5,2
088d3df51,53,arvalis_3,arvalis_3_3,0
08a55ca8a,34,arvalis_1,arvalis_1_2,3
08a65db34,53,rres_1,rres_1_3,3
08aa26ac1,51,rres_1,rres_1_3,1
08dd31605,42,arvalis_1,arvalis_1_2,4
0923194d6,37,arvalis_1,arvalis_1_2,3
09539e132,31,arvalis_3,arvalis_3_2,2
09798007b,17,arvalis_3,arvalis_3_1,3
097af10ac,30,usask_1,usask_1_2,2
0980aa079,55,arvalis_1,arvalis_1_3,3
0989b2627,62,ethz_1,ethz_1_4,4
099c4c2b9,54,arvalis_1,arvalis_1_3,4
09b2de97e,52,arvalis_1,arvalis_1_3,3
09b4141a6,48,arvalis_3,arvalis_3_3,1
09ba65605,55,ethz_1,ethz_1_3,4
09bcc5259,58,arvalis_1,arvalis_1_3,1
09d50b59d,56,ethz_1,ethz_1_3,3
09eb21d04,3,arvalis_3,arvalis_3_0,1
09f97e0cf,52,rres_1,rres_1_3,3
0a029eead,30,usask_1,usask_1_2,1
0a10cd864,12,arvalis_2,arvalis_2_0,1
0a181bbb4,32,arvalis_1,arvalis_1_2,0
0a3cb453f,67,ethz_1,ethz_1_4,3
0a3ff84a7,20,inrae_1,inrae_1_1,3
0a4408b37,35,usask_1,usask_1_2,2
0a4dc77c7,15,inrae_1,inrae_1_1,2
0a7338e6f,59,ethz_1,ethz_1_3,0
0a73f8a0f,23,arvalis_2,arvalis_2_1,3
0a97d54ae,30,arvalis_1,arvalis_1_2,1
0a9f24bdc,42,arvalis_1,arvalis_1_2,1
0abbdee70,12,arvalis_3,arvalis_3_0,2
0abc443ae,21,inrae_1,inrae_1_1,2
0adcb2a1a,59,ethz_1,ethz_1_3,2
0aef2f67e,70,ethz_1,ethz_1_4,0
0afdb91a2,60,ethz_1,ethz_1_4,1
0b2967a7a,55,arvalis_3,arvalis_3_3,2
0b47876ec,44,arvalis_1,arvalis_1_2,0
0b5b60131,48,arvalis_1,arvalis_1_3,0
0b7712f7a,63,arvalis_3,arvalis_3_4,3
0b9624bd4,46,arvalis_1,arvalis_1_3,1
0ba2166af,33,arvalis_1,arvalis_1_2,0
